continent,year,lifeExp,pop,gdpPercap
Americas,1952,62.649,1555876,1952.308701
Americas,1957,63.196,1770902,2046.154706
Americas,1962,64.361,2009813,2148.027146
Americas,1967,64.951,2287985,2299.376311
Americas,1972,65.815,2614104,2523.337977
Americas,1977,66.353,2984494,3248.373311
Americas,1982,66.874,3366439,4258.503604
Americas,1987,67.378,3886512,3998.875695
Americas,1992,68.225,4483945,4196.411078
Americas,1997,69.4,5154123,4247.400261
Americas,2002,70.755,5884491,3783.674243
Americas,2007,71.752,6667147,4172.838464
